tweet
@amyfoulger nono its okay babe i see where i stand ...
@SethPotthoff it's okay babe
Its okay babe :) love you xx https://t.co/uPeVHXnMCX
@IovechyIer it's okay babe 😕❤️
@anat3ixeira @Kikoscp7 @Scary_love_PT Okay babe
@RoadTrip3000 aww you okay babe 😂🙈❤️
@SkylarDior__ okay babe
@madisonsours11 okay babe
"@p0th0le I love you most, you okay babe?"
"@elliepev okay babe, it's a maybe from me X"
@bencamblin okay babe xxxxxxx
@georglouise_96 okay babe x
@xox_kitty okay babe.
"Okay, babe~ I'll see you in a bit, hm? I'm gonna nap"
@bimpong_r @Dadson_x doing advert of love okay babe
@Jordanbrown1000 everything will be okay babe ❤
@leah_mcbride you okay babe??💙
@ticcitobys_bro oh *she kisses his forehead* it's okay babe
@jenchriistine I hope you are okay babe
@Absprivate1998 you okay babe? 💋 xx
@NateMorgey Hi Nate been thinking about you alot lately and haven't heard much from you.hope you are okay babe please tell me that your okay
@Whatisusaying okay babe !!
You okay babe? https://t.co/bsygtKf8Mh
@Daniclmatthews okay babe. *eric smiles softly and sits down on a bench as he waits*
@AbigayleWilsonn know how that feels you okay babe xx
@ccabellowings Okay babe sz
@ticcitobys_bro *she tilts her head* Are you okay babe?
"RT @GavMemes: ""you okay babe?""

""yeah. fine."" https://t.co/xQFKgxf8Lf"
@DanWestt8 it's okay babe xx
@jccaylen it's okay babe
@tearsfaye ARE YOU OKAY BABE
@KamilaZainal Errr. Okay babe. Mari tidur 😭
@CLIMZYS okay babe 😂😂😂
@LordTigress_ are you okay babe?
@my_Names_Alice_ ahh okay babe
@charlotte_colee hope everything is okay babe!
"@ratherbegreat smh, men aren't supposed to be able to search you without another female officer present. But glad you're okay babe"
@natalierod7 @yoteens okay babe
@LoveDaja_ okay babe 😚
@GraysonDolan 😓 it's okay babe
@BriShifflett @FLAGALine okay babe!!! ❤️
*he looks at his bæ* Okay babe now you're just teasing me~ https://t.co/fD76dvnQ02
@MennahAhmed5 @Miirnaalaa okay babe hasthmlekk bltalyy testhmle duud okhtek okay?🤔
@henryrayner1010 okay babe if you say so X
Okay babe https://t.co/IFaEGgYHOU
@ryruckledge Hope your okay babe! love you!X:)
@Lyndseyrae_325 haha okay babe😎
@GraysonDolan it's okay babe. please dont stress out about it x
okay babe and then you know what you are
@kwyjibae I'm okay babe just those days x
RT @ihu_nanya: It's okay babe! Love you and thank you!💞😘 https://t.co/EBlHJrMHf2
@hannn_ab okay babe .
RT @NesssaaM: @Raullllito okay babe!🤘
@Raullllito okay babe!🤘
@BetthBrownnx okay babe
@AnnaTaughtYou are you okay babe? Here for you
@jessywevz hope you're okay babe 💕❤️
@Unknownsuicidx :( its okay babe ❤
@Nkocaine95 Im okay babe.
@hazirahshukri ahahaha okay babe 💓
@fallinontotrees it's okay babe I love you
@fabfivewings okay babe
@anishajoshi570 it's okay babe
"@waw4_ takpe takpe jangan kenal orang lain, kenal aku je. Sayza, 19, Single ehhhh hahaha 😂 It's okay babe let your heart recover eh"
just smile okay babe? — Ok https://t.co/eLhTjiwCwU
@LivinwithNF Okay babe 😊😉
@waw4_ why wawa ? Sabar okay babe
@_munirahanuar ahahaha okay babe 😘
@uhsophieturner you okay babe?! X
@thickblackbrows okay babe😘
@ktdufferwiel okay babe xx
@husnaaaaaaaaaa_ Ansos?? Never heard of it. Its okay babe. You can manage percayalah. Have faith!!
"@amirahadli yasss, hingga ke jannah okay babe."
"@megan_carlisle it's okay babe, you have me to keep you busy 🤗"
@snanishr okay babe! Goodnight!
@Razza_H OKAY BABE
@PisangGo it okay babe. tapi kalau tak layan tak jadi.
@jmcneill535 It's okay babe my mom loves you ❤️
"@nmschaefer it's okay babe, you were just like the 5th person!! Lol"
@affhmrd hehe okay babe pape i roger 😘
Hope you're okay babe @NewHopeBlake https://t.co/Ajldyh3JiX
@D3f0rM11yTy HAHAHAHA okay babe i shall
@irenenajwakhan it's okay babe! Aku paham..xpe aku okay je..thanks wei for the all wishes kau wei..utk itu kau kene bg hdiah..hehehe 😘
@IIBabyDoll_ @queenzeex you wh..... dont say that again okay babe?
RT @REMIIX_13: okay babe https://t.co/5n0Px7mbfD
okay babe https://t.co/5n0Px7mbfD
@brawna_boo Okay babe 💗😂😂
@lfuller Only four posts about this cup? You okay babe?
hope everything's okay babe 😩 love you @Camryn13U_
"@rodayner it's okay babe, you can work at a car wash now, I heard they name good tip"
@frhnnsjdn okay babe 💐 see you soon 💕
"@LeizQuen okay babe, I'll call u later AHAHAHA #2YearsOfForevermoreFever"
@_Princessnatx3 okay babe 💕💕
"Okay babe, as long as you would do the same ;-)"
@chaotic_iak okay babe
@filyanaaaaaaa ahahahaha. bakal bakal 4 rata kan :') hahaha. same here. its okay babe.  tmrrw kita ehem
RT @tinygrandde: @doeschazknow okay babe!!
@rarashieda_ entahlah sejak da keje ni mcm takkuat makan duh okay babe goodnight pape ws hoccay 😚😚
@TheCombatBaby u okay babe? *pats back* let it all out
It's okay babe! Love you and thank you!💞😘 https://t.co/EBlHJrMHf2
